nome,verso
And I Love Him,I give him all my loveThat`s all I doAnd if you saw my loveYou`d love him tooAnd I love himHe gives me everythingAnd ternderlyThe kiss my love bringsHe brings to meAnd I love himA love like oursCould never dieAs long as I have you near meBright as the stars that shineDark is the skyI know this love of mineWill never die
Faça parte  dessa comunidade,I give him all my loveThat`s all I doAnd if you saw my loveYou`d love him tooAnd I love himHe gives me everythingAnd ternderlyThe kiss my love bringsHe brings to meAnd I love himA love like oursCould never dieAs long as I have you near meBright as the stars that shineDark is the skyI know this love of mineWill never die
Ando Jururu,E pensar que eu passei todo esse tempoInvestindo no meu know-howE pensar que eu quase me daneiApostando no meu backgroundEu ando jururuI don't know what to doQuero encontrar pelo caminhoUm cogumelo de zebuE descansar os meus olhos no pastoDescarregar esse mundo das costasEu só quero fazer parte do backing vocalE cantar o tempo todo shoobeedoodaudau
Faça parte  dessa comunidade,E pensar que eu passei todo esse tempoInvestindo no meu know-howE pensar que eu quase me daneiApostando no meu backgroundEu ando jururuI don't know what to doQuero encontrar pelo caminhoUm cogumelo de zebuE descansar os meus olhos no pastoDescarregar esse mundo das costasEu só quero fazer parte do backing vocalE cantar o tempo todo shoobeedoodaudau
Ando Meio Desligado,"Ando meio desligadoEu nem sinto meus pés no chãoOlho e não vejo nadaEu só penso se você me querEu nem vejo a hora de lhe dizerAquilo tudo que eu decoreiE depois o beijo que eu já sonheiVocê vai sentir, mas...Por favor, não leve a malEu só quero que você me queiraNão leve a mal"
Faça parte  dessa comunidade,"Ando meio desligadoEu nem sinto meus pés no chãoOlho e não vejo nadaEu só penso se você me querEu nem vejo a hora de lhe dizerAquilo tudo que eu decoreiE depois o beijo que eu já sonheiVocê vai sentir, mas...Por favor, não leve a malEu só quero que você me queiraNão leve a mal"
"Aqui, Ali, Em Qualquer Lugar","Aqui, ali, em qualquer lugar... (Here, there and everywhere)(Lennon/McCartney)(Versão Rita Lee)Não dá pra ser feliz, longe do meu grande amor...Eu, nesse mundinho de DeusSempre às voltas pensando em vocêPra lhe fazer uma serenata sóThere, running my hands through her hairBoth of us thinking how good it can beSomeone is speaking but she doesn't know he's thereI love you pra chuchuSe você não está perto eu fico jururuTudo azul mas sem você eu fico blueKnowing that love is to shareEach one believing that love never diesWachting her eyes and hoping I'm always thereI love you pra chuchuSe você não está perto eu fico jururuTudo azul mas sem você eu fico blueNesse mundinho de DeusCá estou eu lua cheia de melOlho pro céu, meu sol continua láE eu aqui, pra lá e pra cáAqui, ali, em qualquer lugar..."
Faça parte  dessa comunidade,"Aqui, ali, em qualquer lugar... (Here, there and everywhere)(Lennon/McCartney)(Versão Rita Lee)Não dá pra ser feliz, longe do meu grande amor...Eu, nesse mundinho de DeusSempre às voltas pensando em vocêPra lhe fazer uma serenata sóThere, running my hands through her hairBoth of us thinking how good it can beSomeone is speaking but she doesn't know he's thereI love you pra chuchuSe você não está perto eu fico jururuTudo azul mas sem você eu fico blueKnowing that love is to shareEach one believing that love never diesWachting her eyes and hoping I'm always thereI love you pra chuchuSe você não está perto eu fico jururuTudo azul mas sem você eu fico blueNesse mundinho de DeusCá estou eu lua cheia de melOlho pro céu, meu sol continua láE eu aqui, pra lá e pra cáAqui, ali, em qualquer lugar..."
Arrombou a Festa,"Ai, ai, meu DeusO que foi que aconteceuCom a Música Popular Brasileira?Todos falam sérioTodos eles levam a sérioMas esse sério me parece brincadeiraBenito lá de Paula com o amigo Charlie BrownRevive em nosso tempo o velho e chato SimonalMartinho vem da Vila lá do fundo do quintalTornando diferente aquela coisa sempre igualUm tal de Raul Seixas vem de disco voadorE Gil vai refazendo seu xodó com muito amorDez anos e Roberto não mudou de profissãoNa festa de arromba ainda está com seu carrãoParei pra pesquisarAi, ai, meu DeusO que foi que aconteceuCom a Música Popular Brasileira?Todos falam sérioTodos eles levam a sérioMas esse sério me parece brincadeiraO Odair José é o terror das empregadasDistribuindo beijos, arranjando namoradasAté o Chico Anísio já bateu pra tu batêPois faturar em música é mais fácil que em TVCelly Campello quase foi parar na ruaPois esperavam dela mais que um banho de luaE o mano Caetano tá pra lá do TeerãDe olho no sucesso da boutique da irmãBilú, bilú, fafá, faró, faró, tetéiaSeverina e o filho da véiaA Música Popular BrasileiraA Música PopularSou a garota papo firme que o Roberto falou!Da Música PopularO tico-tico nu, o tico-tico cu, o tico-tico pá rá rá ráMúsica PopularOlha que coisa mais linda, mais cheia deMúsica PopularMamãe, eu queroMamãe, eu queroMamãe, eu quero aMúsica Popular Brasileira!Pega, mata e come!"
Faça parte  dessa comunidade,"Ai, ai, meu DeusO que foi que aconteceuCom a Música Popular Brasileira?Todos falam sérioTodos eles levam a sérioMas esse sério me parece brincadeiraBenito lá de Paula com o amigo Charlie BrownRevive em nosso tempo o velho e chato SimonalMartinho vem da Vila lá do fundo do quintalTornando diferente aquela coisa sempre igualUm tal de Raul Seixas vem de disco voadorE Gil vai refazendo seu xodó com muito amorDez anos e Roberto não mudou de profissãoNa festa de arromba ainda está com seu carrãoParei pra pesquisarAi, ai, meu DeusO que foi que aconteceuCom a Música Popular Brasileira?Todos falam sérioTodos eles levam a sérioMas esse sério me parece brincadeiraO Odair José é o terror das empregadasDistribuindo beijos, arranjando namoradasAté o Chico Anísio já bateu pra tu batêPois faturar em música é mais fácil que em TVCelly Campello quase foi parar na ruaPois esperavam dela mais que um banho de luaE o mano Caetano tá pra lá do TeerãDe olho no sucesso da boutique da irmãBilú, bilú, fafá, faró, faró, tetéiaSeverina e o filho da véiaA Música Popular BrasileiraA Música PopularSou a garota papo firme que o Roberto falou!Da Música PopularO tico-tico nu, o tico-tico cu, o tico-tico pá rá rá ráMúsica PopularOlha que coisa mais linda, mais cheia deMúsica PopularMamãe, eu queroMamãe, eu queroMamãe, eu quero aMúsica Popular Brasileira!Pega, mata e come!"
